category,year,authors,title,venue,details,doi,url_pub,url_arxiv,url_code,awards
working,,"**Dong M**, Yan J, Liu L, Wang L","Efficient adjustment sets for inverse probability weighted estimation in causal graphical models",,,,,,
working,,"Hou T, Thakral A, Hueniken K, ..., **Dong M**, Xu W, Lee J, Liu G","Genetic liability to smoking and alcohol use and risk and survival in head and neck squamous cell carcinoma: Towards a personalized approach",,"Submitted.",,,,
working,,"Haycock P, **Dong M**, Liu Y, Vanderwerff B, Bate T, et al.","A meta-analysis of genome-wide association studies of lung cancer survival",,,,,,
working,,"Bate T, **Dong M**, Liu Y, Seviiri M, Brown MC, et al.","Investigating the repurposing potential of immune checkpoint inhibition for cancer treatment using Mendelian randomisation",,"Submitted.",,,,
working,,"Bate T, **Dong M**, Ogamba C, Liu Y, Seviiri M, et al.","Investigating the repurposing potential of cardiometabolic and hormonal medications for cancer treatment using Mendelian randomisation",,,,,,
preprint,2025,"**Dong M**, Liu L, Tang D, Liu G, Xu W, Wang L","Marginal causal effect with continuous instrumental variables","arXiv preprint","arXiv:2510.14368.",,,https://arxiv.org/abs/2510.14368,,"IMS Hannan Graduate Student Travel Award; SSC General Student Research Oral Presentation Award; University of Toronto Department of Statistics Research Day Best Poster Award."
peer_reviewed,2026,"**Dong M**, Wang L, Liu L, Dukes O","Mei Dong, Linbo Wang, Lin Liu, and Oliver Dukes's contribution to the Discussion of 'Regression by composition' by Farewell et al.","Journal of the Royal Statistical Society Series B: Statistical Methodology","qkag093.",10.1093/jrsssb/qkag093,,https://arxiv.org/abs/2604.18388,
peer_reviewed,2025,"Hou T, Thakral A, ..., **Dong M**, ..., Liu G","Polygenic risk score-based smoking and drinking behaviors and head and neck squamous cell cancer risk by HPV status","Cancer Research","Abstract publication, 85(8 Supplement 1):7399.",,,,
peer_reviewed,2025,"**Dong M**, Thakral A, Byrne KS, Bosse Y, Zhou H, et al.","Genome-wide association study of early-stage non-small cell lung cancer prognosis: A pooled analysis in the International Lung Cancer Consortium","Carcinogenesis","46(2):bgaf031.",10.1093/carcin/bgaf031,,,
peer_reviewed,2025,"Lam A, Hueniken K, Pienkowski M, Lee JW, **Dong M**, et al.","Performance of eight smoking metrics for modeling survival in head and neck squamous cell carcinoma","JAMA Otolaryngology–Head & Neck Surgery","151(4):360–370.",10.1001/jamaoto.2024.5392,https://jamanetwork.com/journals/jamaotolaryngology/fullarticle/2830404,,
